default,identifier,remarks,ru,pt,de,esm,fr
Display all ammo,JGPHUD_ALLAMMO_ENABLE,Whether to display a separate block with all ammo currently in the player's inventory.  Has several options,Показывать общий боезапас,Mostrar munição no inventário,Gesamte Munition anzeigen,Mostrar todas las municiones,Affichage de toutes les munitions
For the weapons you have,JGPHUD_ALLAMMO_OWNEDWEAPONS,All Ammo block option: only draw ammo icons/amounts for the weapons the player has in their inventory,Только для оружия в инвентаре,Pour les armes que vous avez,Nur für mitgeführte Waffen,Para armas en posesión,Pour les armes que vous avez
For all weapons in the game,JGPHUD_ALLAMMO_ALLWEAPONS,All Ammo block options: draw ammo for all weapons that exist in the current game,Для всех видов оружия в игре,Pour toutes les armes du je,Für alle Waffen im Spiel,Para todas las armas,Pour toutes les armes du jeu
Show depleted ammo,JGPHUD_ALLAMMO_SHOWDEPLETED,Whether to show the ammo you've run out of in the All Ammo block (On/Off),Показывать израсходованные патроны,Afficher les munitions épuisées,Verbrauchte Munition anzeigen,Mostrar municiones vacias,Afficher les munitions épuisées
Keys,JGPHUD_KEYS_TITLE,,Ключи,Chaves,Schlüssel,Llaves,Clés
Keys display,JGPHUD_KEYS_ENABLE,Whether to show keys on the HUD,Показывать ключи,Mostrar chaves,Schlüssel anzeigen,Mostrar llaves,Affichage des clés
Weapon slots,JGPHUD_WEAPSLOTS_TITLE,,Ячейки оружия,Ícones de arma,Waffenplätze,Slots de armas,Emplacements d'armes
Weapon slots display,JGPHUD_WEAPSLOTS_ENABLE,Whether to show weapon slots on the HUD,Показывать ячейки оружия,Mostrar ícones de arma,Waffenplätze anzeigen,Mostrar slots de armas,Affichage des emplacements d'armes
Weapon slots alignment,JGPHUD_WEAPSLOTS_ALIGNMENT,How the slots are aligned (vertically or horizontally),Порядок ячеек оружия,Alinhamento dos ícones de arma,Waffenplatzanordnung,Alineamiento de slots,Alignement des emplacements d’armes
Horizontal,JGPHUD_WEAPSLOTS_ALIGNMENT_H,Weapon slots alignment option,По горизонтали,Horizontal,Horizontal,Horizontal,Horizontal
Vertical,JGPHUD_WEAPSLOTS_ALIGNMENT_V,"Weapon slots alignment option (vertical, first slot at the top)",По вертикали (сверху вниз),Vertical,Vertikal,Vertical,Vertical
Vertical inverted,JGPHUD_WEAPSLOTS_ALIGNMENT_VINV,"Weapon slots alignment option (vertical, first slot at the bottom)",По вертикали (снизу вверх),Vertical invertido,Vertikal invertiert,Vertical invertido,Vertical Inversé
Powerup timers,JGPHUD_POWERUPS_TITLE,Title for the submenu,Таймеры усилений,Temporizadores de powerup,Powerup-Timer,Contadores de powerups,Temps des powerups
Powerup timers display,JGPHUD_POWERUPS_ENABLE,Whether  to show visible timers (minutes and seconds) for currently active power-ups,Показывать таймеры усилений,Mostrar temporizadores de powerup,Powerup-Timer anzeigen,Mostrar contadores de powerups,Affichage du temps des powerups
Inventory bar,JGPHUD_INVBAR_TITLE,Title for the submenu,Полоска инвентаря,Barra de inventário,Inventarleiste,Barra de inventario,Barre d’inventaire
Inventory bar display,JGPHUD_INVBAR_ENABLE,"Whether to show an inventory bar (where applicable, like Heretic, Hexen, Strife)",Показывать полосу инвентаря,Mostrar barra de inventário,Inventarleiste anzeigen,Mostrar barra de inventario,Affichage de la barre d’inventaire
Always show full inventory bar,JGPHUD_INVBAR_ENABLEALWAYS,"If this is false, inventory bar will auto-hide after 2 seconds and only the currently selected item will be shown.",Не скрывать полосу инвентаря,Sempre mostrar barra de inventário,Immer ganze Inventarleiste anzeigen,Siempre mostrar todo el inventario,Toujours afficher la barre d'inventaire complète
"If inventory bar is always shown, ""Use Item"" button will
instantly use the item. If not, first press will select the
item, second press will use it.",JGPHUD_INVBAR_ENABLEALWAYS_NOTE,"Keep under 4 lines! Use real linebreaks (Ctrl-Enter) to add new lines, so that each line is under 60 characters","Если полоса инвентаря всегда включена, кнопка «Использовать
предмет» сразу использует его. В противном случае первое
нажатие выбирает предмет, а второе использует.","Se a barra de inventário estiver sempre mostrando, o botão
""Usar item"" funciona instantâneamente, caso contrário,
pressionar uma vez selecionará o item, e a segunda vez irá usa-lo.","""Gegenstand aktivieren"" aktiviert Gegenstände sofort,
falls die ganze Inventarleiste angezeigt wird.
Falls nicht, werden Gegenstände beim ersten Drücken
ausgewählt und beim zweiten Drücken aktiviert.","Si la barra de inventario siempre se muestra, ""Usar objeto""
usará el objeto de inmediato, de lo contrario, primero se
seleccionará y luego se usará.","Si la barre d'inventaire est toujours affichée, le bouton
""Utiliser l'objet"" utilise instantanément l'objet. Sinon, la première
pression sélectionnera l'objet, la seconde l'utilisera."
"Note: Inventory bar will only appear in games/mods
that have items that can be placed in inventory
and used from it.",JGPHUD_INVBAR_NOTE,"Keep under 4 lines! Use real linebreaks (Ctrl-Enter) to add new lines, so that each line is under 60 characters","Внимание: полоса инвентаря отображается, только если
в игре/моде есть предметы, которые можно использовать
из инвентаря.","Obs.: Barra de inventário aparece apenas em jogos/mods
que têm itens que podem ser colocados no inventário.","Beachte: Inventarleiste wird nur in Spielen/Mods
angezeigt, in denen Gegenstände vom Inventar aus
aktiviert werden können.","Nota: la barra solo aparecerá en juegos y mods que
contengan objetos de inventario utilizables.","Remarque : la barre d'inventaire n'apparaît que dans les
jeux/mods dont les objets peuvent être placés dans
l'inventaire et être utilisés à partir de celui-ci."
"Minimap, radar and map data",JGPHUD_MAPDATA_GEN_TITLE,General title for the submenu that contains minimap and map data settings,Мини-карта и данные об уровне,,,,
Minimap and monster radar,JGPHUD_MINIMAP_TITLE,Option block title,Мини-карта,,,,
"Note: The minimap may cause performance issues on maps
with complex geometry, especially at low zoom values.",JGPHUD_MINIMAP_NOTE,"Keep under 4 lines! Use real linebreaks (Ctrl-Enter) to add new lines, so that each line is under 60 characters","Примечание: мини-карта может вызывать проблемы с
производительностью на уровнях со сложной геометрией,
особенно при низком приближении.","Obs.: O minimapa pode causar problemas de
desempenho em mapas complexos.","Beachte: Minikarte kann Leistungseinbrüche auf Karten mit
komplexer Geometrie verursachen, insbesondere bei
niedrigem Zoom.","Nota: el minimapa puede causar pérdida de cuadros en
mapas complejos, especialmente con bajo zoom.","Remarque : la minimap peut entraîner des problèmes de
performance sur les cartes à géométrie complexe, en
particulier lorsque le zoom est faible. à géométrie
complexe, en particulier lorsque le zoom est faible."
Minimap and monster radar display,JGPHUD_MINIMAP_ENABLE,Whether to draw the minimap and the enemy markers. Possible values: Off / Minimap only / Enemy markers only / Both,Отображение мини-карты и маркеров врагов,,,,
Minimap only,JGPHUD_MINIMAP_MAPONLY,"Possible value for ""Minimap and enemy radar display"" option",Только мини-карта,Apenas minimapa,Nur Minikarte,Solo minimapa,Mini-carte seulement
Monster markers only,JGPHUD_MINIMAP_RADARONLY,"Possible value for ""Minimap and enemy radar display"" option",Только маркеры врагов,,,,
Minimap and monster markers,JGPHUD_MINIMAP_BOTH,"Possible value for ""Minimap and enemy radar display"" option",Мини-карта и маркеры врагов,,,,
Minimap/radar size,JGPHUD_MINIMAP_SIZE,,Размер мини-карты/радара,,,,
Minimap/radar shape,JGPHUD_MINIMAP_SHAPE,,Форма мини-карты/радара,,,,
Minimap/radar zoom,JGPHUD_MINIMAP_ZOOM,minimap zoom value,Приближение мини-карты/радара,,,,
Circle,JGPHUD_MINIMAP_SHAPE_CIRCLE,possible minimap shape,Круг,Círculo,Kreis,Circular,Cercle
Square,JGPHUD_MINIMAP_SHAPE_SQUARE,possible minimap shape,Квадрат,Quadrado,Quadrat,Cuadrada,Carré
Display undiscovered lines,JGPHUD_MINIMAP_DRAWNOTSEEN,DEPRECATED,Показывать ещё не обнаруженные линии,Mostrar linhas não descobertas,Unentdeckte Linien zeichnen,Mostrar lineas no descubiertas,Montrer lignes non découvertes
Undiscovered lines opacity,JGPHUD_MINIMAP_DRAWNOTSEEN_ALPHA,"Replacement for ""Display undiscovered lines"" option: now this is a 0.0-1.0 slider that determines the translucency of the lines that the player hasn't seen yet.",Прозрачность ещё не обнаруженных линий,,,,
Lines around different floor heights,JGPHUD_MINIMAP_DRAWFLOORDIFF,On/off: whether to display lines that are at the edges of the sectors with different floor heights,Линии секторов с разной высотой пола,,,,
Lines around different ceiling heights,JGPHUD_MINIMAP_DRAWCEILINGDIFF,On/off: whether to display lines that are at the edges of the sectors with different ceiling heights,Линии секторов с разной высотой потолка,,,,
Lines,JGPHUD_MINIMAP_COLOR_LINES,color for regular minimap lines,Линии,Linhas,Linien,Lineas,Lignes
Interactive lines,JGPHUD_MINIMAP_COLOR_INTLINES,"color for interactive minimap lines (activateable by pressing Use, but not requiring a key, because locked lines will have a lock color)",Интерактивные линии,Linhas usáveis,Auslöserlinien,Lineas interactivas,Lignes interactives
Cardinal directions display,JGPHUD_MINIMAP_CARDINAL_ENABLE,"Determines whether the cardinal direction letters (N, W, E, S) will be displayed on the minimap.
Possible values: Off / In a circular bounding box / In the minimap's bounding box",Показывать стороны света,,,,
In a circular bounding box,JGPHUD_MINIMAP_CARDINAL_CIRCULAR,"The cardinal direction letters will always rotate along a circle, even if the minimap is set to use the square shape",В круглой рамке,,,,
In the minimap's bounding box,JGPHUD_MINIMAP_CARDINAL_MATCHMAP,"The cardinal direction letters will slide along the minimap's edge, either in a circular or square bounding box, depending on the minimap's shape. This could also be translated as ""Always along the minimap's edge""",Всегда по краю мини-карты,,,,
Cardinal directions' color,JGPHUD_MINIMAP_CARDINAL_COLOR,A color picker that determines the color of the N W E S letters on the minimap,Цвет  сторон света,,,,
Cardinal directions' size,JGPHUD_MINIMAP_CARDINAL_SIZE,"A slider that determines the size of the cardinal direction letters (N, W, E, S) on the minimap.",Размер сторон света,,,,
Monster markers display,JGPHUD_MINIMAP_ENEMIES,"Whether to show enemies on the minimap. Possible options: Only alerted enemies / All enemies
This option becomes available when ""Minimap and enemy radar display"" is set either to ""Enemy markers only"" or ""Minimap and enemy markers""",Отображение маркеров врагов,,,,
Only alerted monsters,JGPHUD_MINIMAP_ENEMIES_ALERTED,"Option for ""Show enemies on the minimap""",Только для активных врагов,,,,
All monsters,JGPHUD_MINIMAP_ENEMIES_ALL,"Option for ""Show enemies on the minimap""",Для всех врагов,,,,
Monster markers shape,JGPHUD_MINIMAP_ENEMIES_SHAPE,An option to choose the shape of enemy markers. Possible values: Arrow / Dot ,Форма маркеров противников,,,,
Arrow,JGPHUD_MINIMAP_ENEMIES_SHAPE_ARROW,"Option for ""Enemy markers shape""",Стрелка,,,,
Dot,JGPHUD_MINIMAP_ENEMIES_SHAPE_DOT,"Option for ""Enemy markers shape""",Точка,,,,
Monster markers size,JGPHUD_MINIMAP_MAPMARKERSCALE,A slider that determines the size of the enemy markers. At 0 (default) the markers are equal to the size of the monster and thus change their visual size according to the minimap's zoom value. At values above 0 they become fixed in size regardless of zoom.,Размер маркеров монстров,,,,
Match the size of the object,JGPHUD_MINIMAP_MAPMARKERSCALE_REAL,"The default value for ""map markers size""",Соответствует размеру объекта,,,,
Map data display,JGPHUD_MAPDATA_TITLE,This is a title for a block of options that determine what kind of extra data about the current map is drawn on the HUD,Данные об уровне,Dados do mapa,Kartendaten,Datos del mapa,Affichage des données de la carte
Show map time,JGPHUD_MAPDATA_TIME,Option in the Map Data options block,Показывать время уровня,Mostrar tempo do mapa,Kartenzeit anzeigen,Mostrar tiempo,Temps de la carte
Show kill count,JGPHUD_MAPDATA_KILLS,Option in the Map Data options block,Показывать убийства,Mostrar contagem de vitimas,Anzahl der Abschüsse anzeigen,Mostrar enemigos muertos,Nombre de morts
Show secrets count,JGPHUD_MAPDATA_SECRETS,Option in the Map Data options block,Показывать секреты,Mostrar contagem de segredos,Anzahl der Geheimnisse anzeigen,Mostrar contador de secretos,Nombre de secrets
Show items count,JGPHUD_MAPDATA_ITEMS,Option in the Map Data options block,Показывать предметы,Mostrar contagem de itens,Anzahl der Gegenstände anzeigen,Mostrar contador de objetos,Nombres d’objets
Crosshair options,JGPHUD_CROSSHAIR_TITLE,Title for various crosshair options,Настройки прицела,Opções de retícula,Fadenkreuzoptionen,Opciones de la mirilla,Options des réticules
Hit markers,JGPHUD_CROSSHAIR_HITMARKERS_TITLE,The title for the menu section,Индикаторы попадания,,,,
Draw enemy hit markers around crosshair,JGPHUD_CROSSHAIR_HITMARKERS,Small angled cross marker around the crosshair when a player's attack hits an enemy.,Индикаторы попадания по врагам вокруг прицела,Mostrar marcadores de acerto ao redor da retícula,Trefferanzeige am Fadenkreuz,Mostrar marcadores de daño contra enemigos,Dessiner les marqueurs de coups de l'ennemi autour du réticule
Hit markers color,JGPHUD_CROSSHAIR_HITMARKERS_COLOR,Color of hit markers,Цвет индикаторов,,,,
Hit markers size,JGPHUD_CROSSHAIR_HITMARKERS_SIZE,"A slider that determines the size of hit markers. At 0 uses ""Relative to crosshair size""",Размер индикаторов,,,,
Relative to crosshair size,JGPHUD_CROSSHAIR_HITMARKERS_SIZE_RELATIVE,"The default option for ""Hit markers size""",Зависит от размера прицела,,,,
Hit markers shape,JGPHUD_CROSSHAIR_HITMARKERS_SHAPE,Option that lets player pick a specific shape for the hitmarkers,Форма индикаторов,,,,
Cross,JGPHUD_CROSSHAIR_HITMARKERS_SHAPE_Cross,A cross shape made out of 4 small pins,Крест,,,,
Angled cross,JGPHUD_CROSSHAIR_HITMARKERS_SHAPE_AngledCross,"Samel as cross, but angled 45 degrees",Наклоненный крест,,,,
4 triangles,JGPHUD_CROSSHAIR_HITMARKERS_SHAPE_Triangles,A cross shame made out of 4 triangles,4 треугольника,,,,
4 angled triangles,JGPHUD_CROSSHAIR_HITMARKERS_SHAPE_AngledTriangles,"Same as 4 triangles, but angled 45 degrees (this is what FlexiHUD was originally using)",4 наклоненных треугольника,,,,
Circle,JGPHUD_CROSSHAIR_HITMARKERS_SHAPE_Circle,"Circle, as in a ring around the crosshair. Not to be confused with ""disk""! Can be translated as ""ring""",Кольцо,,,,
Disk,JGPHUD_CROSSHAIR_HITMARKERS_SHAPE_Disk,"Disk shape, i.e. a filled circle. Not to be confused with ""circle""!",Круг,,,,
Square,JGPHUD_CROSSHAIR_HITMARKERS_SHAPE_Square,,,,,,
Diamond,JGPHUD_CROSSHAIR_HITMARKERS_SHAPE_Diamond,Just a square angled 45 degrees,,,,,
Health/armor/ammo bars around crosshair,JGPHUD_CROSSHAIR_BARS_ENABLE,Curved bars around the crosshair in the style of HL2,Индикаторы здоровья/брони/патронов вокруг прицела,Barra de vida/armadura/munição ao redor da retícula,Gesundheits-/Rüstungs-/Munitionsanzeige am Fadenkreuz,Barras de vida/armadura/munición en la mirilla,Barre de santé/armure/munitions autour du réticule
Bars size,JGPHUD_CROSSHAIR_BARS_SIZE,Option for the bars around the crosshair,Размер индикаторов,Tamanho das barras,Leistengrösse,Tamaño de las barras,Taille des barres
Bars opacity,JGPHUD_CROSSHAIR_BARS_ALPHA,Option for the bars around the crosshair,Прозрачность индикаторов,Opacidade das barras,Leistendeckkraft,Opacidad de las barras,Opacité des barres
Bars width (multiplier),JGPHUD_CROSSHAIR_BARS_WIDTH,Option for the bars around the crosshair,Ширина индикаторов (множитель),Grossura das barras,Leistenbreite (Multiplikator),Grosor de las barras (multiplicador),Largeur des barres (multiplicateur)
Numbers next to bars,JGPHUD_CROSSHAIR_BARS_TEXT,Option for the bars around the crosshair,Цифры рядом с индикаторами,Números perto das barras,Nummern neben den Leisten,Contadores,Nombres à coté des barres
Show always,JGPHUD_CROSSHAIR_BARS_ALWAYS,Option for the bars around the crosshair,Показывать всегда,Sempre mostrar,Immer anzeigen,Mostrar siempre,Toujour montrer
Auto-hide after a delay,JGPHUD_CROSSHAIR_BARS_AUTOHIDE,Option for the bars around the crosshair,Скрывать через некоторое время,Desaparecer depois de um tempo,Nach einer Weile automatisch ausblenden,Desvanecer cuando los valores no cambien,Masquage automatique après un délai
Show enemy health next to crosshair,JGPHUD_CROSSHAIR_ENEMYHEALTH,(Possible future option) Show a curved bar above the crosshair depicting the health of the enemy you're looking at,Показывать здоровье текущего противника,Mostrar vida do inimigo perto da retícula,Gegnergesundheit am Fadenkreuz anzeigen,Mostrar vida de los enemigos,Montrer la santé des ennemis près du réticule
Bars background,JGPHUD_CROSSHAIR_BARS_BKG,(Possible future option) Whether to draw a dark background behind the health/armor/ammo bars around the crosshair,Фон индикаторов,Fundo das barras,Leistenhintergrund,Mostrar fondo para las barras,Arrière-plan des barres
Health and armor bar,JGPHUD_CROSSHAIR_BARS_HP,Health/armor bar next to the crosshair (off/left/top/right/bottom),Индикатор здоровья/брони,Barra de vida e armadura,Gesundheit und Rüstung,Barra de vida y armadura,Barre de santé et d’armure
Ammo bar,JGPHUD_CROSSHAIR_BARS_AMMO,Ammo bar next to the crosshair (off/left/top/right/bottom),Индикатор патронов,Barra de munição,Munition,Barra de municiones,Barre de munition
Enemy health bar,JGPHUD_CROSSHAIR_BARS_ENEMYHP,Enemy health bar next to the crosshair (off/left/top/right/bottom),Индикатор здоровья врага,Barra de vida do inimigo,Gegnergesundheit,Barra de vida de enemigos,Barre de santé des ennemis
Left,JGPHUD_CROSSHAIR_BARS_POS_L,To the left of the crosshair,Слева,À esquerda,Links,Izquierda,Gauche
Top,JGPHUD_CROSSHAIR_BARS_POS_T,Above the crosshair,Вверху,Acima,Oben,Arriba,Haut
Right,JGPHUD_CROSSHAIR_BARS_POS_R,To the right of the crosshair,Справа,À direita,Rechts,Derecha,Droite
Bottom,JGPHUD_CROSSHAIR_BARS_POS_B,Below the crosshair,Внизу,Abaixo ,Unten,Abajo,Bas
Custom items,JGPHUD_CustomItems_TITLE,"Menu title
""Custom"" is used in the sense ""defined by the user""",Пользовательские предметы,Ítens personalizados,Eigene Gegenstände,Items personalizados,Objets personnalisés
Display custom items,JGPHUD_CustomItems_ENABLE,Whether to draw custom items (they can be specified by the user in the ITEMINFO lump for greater compatibility),Показывать пользовательские предметы,Mostrar ítens personalizados,Eigene Gegenstände anzeigen,Mostrar items personalizados,Montrer objets customisés
"This special element can draw item classes
specified in the ITEMINFO lump.",JGPHUD_CustomItems_NOTE,"Keep under 3 lines
Use physical linebreaks (alt-Enter)","Этот блок показывает предметы, добавленные через
файл ITEMINFO.","Este elemento especial pode mostrar classes
de ítens especificadas no arquivo ITEMINFO.","Dieses spezielle Element kann Gegenstandklassen
anzeigen, die im ITEMINFO lump spezifiziert sind.","Este elemento especial puede mostrar clases
personalizadas de items definidas en ITEMINFO.","Cet élément spécial peut montrer des classes
d'objets spécifiées dans le bloc ITEMINFO."
Presets,JGPHUD_Presets_Title,Title for the Presets submenu,Пресеты,,,,
load,JGPHUD_Presets_Verb_Load,"Translate as a verb (probably in infinitive form)

This is one of the actions in a submenu that appears when you click on a preset.
After that it's used as a verb and inserted in the follwing message:

Are you sure you want to <verb> preset ""presetname""?",загрузить,,,,
overwrite,JGPHUD_Presets_Verb_Overwrite,"Translate as a verb (probably in infinitive form)

This is one of the actions in a submenu that appears when you click on a preset.
After that it's used as a verb and inserted in the follwing message:

Are you sure you want to <verb> preset ""presetname""?",перезаписать,,,,
delete,JGPHUD_Presets_Verb_Delete,"Translate as a verb (probably in infinitive form)

This is one of the actions in a submenu that appears when you click on a preset.
After that it's used as a verb and inserted in the follwing message:

Are you sure you want to <verb> preset ""presetname""?",удалить,,,,
